"event","day","type"
"National Dog Day "," August 26","pet"
"National Holistic Pet Day "," August 30","pet"
"National Dogs in Politics Day "," September 23","pet"
"National Reptile Awareness Day "," October 21","pet"
"National Cat Day "," October 29","pet"
"National Mutt Day "," December 2","pet"
"Galentine’s Day "," February 13","pop-culture"
"Star Wars Day "," May 4","pop-culture"
"National Donald Duck Day "," June 9","pop-culture"
"World Beatles Day "," June 25","pop-culture"
"World Social Media Day "," June 30","pop-culture"
"World Emoji Day "," July 17","pop-culture"
"Spider-Man Day "," August 1","pop-culture"
"Answer The Telephone Like Buddy The Elf Day "," December 18","pop-culture"
"Singles Awareness Day "," February 15","relationship"
"National Ex Spouse Day "," April 14","relationship"
"National Look-Alike Day "," April 20","relationship"
"National Best Friends’ Day "," June 8","relationship"
"International Day of Friendship "," July 30","relationship"
"National Girlfriends Day "," August 1","relationship"
"National Friendship Day "," August 7","relationship"
"National Boyfriend Day "," October 3","relationship"
"National Unfriend Day "," November 17","relationship"
"Amazon Prime Day "," July 11","shopping"
"National Secondhand Wardrobe Day "," August 25","shopping"
"Telephone Tuesday "," September 5","shopping"
"Singles Day "," November 11","shopping"
"Black Friday "," November 24","shopping"
"Small Business Saturday "," November 25","shopping"
"Cyber Monday "," November 27","shopping"
"Giving Tuesday "," November 28","shopping"
"World Backup Day "," March 31","technology"
"National Telephone Day "," April 25","technology"
"National Day of Civic Hacking "," June 4","technology"
"National Video Game Day "," July 8","technology"
"National Radio Day "," August 20","technology"
"National Video Games Day "," September 12","technology"
"International Podcast Day "," September 30","technology"
"National Clean Your Virtual Desktop Day "," October 17","technology"
"National Internet Day "," October 29","technology"
